Experience_Years,Python_Score,ML_Score,SQL_Score,WebDev_Score,SystemDesign_Score,Communication_Score,Certifications_Count,Expected_Salary,Role
0.1,76.0,17.7,66.7,79.9,52.9,56.1,4,12.67,UX Designer
4.0,46.6,75.2,76.5,66.5,74.5,73.9,2,27.02,Product Manager
1.5,60.4,41.3,67.0,27.1,45.7,53.6,5,18.87,Cybersecurity Analyst
2.8,35.0,70.8,80.2,47.2,47.8,63.6,3,22.46,Product Manager
9.5,72.2,15.6,67.8,65.7,30.1,76.0,2,24.5,Data Analyst
1.1,76.6,72.9,58.5,74.8,64.8,58.2,0,20.03,Product Manager
2.1,56.3,30.8,94.1,44.4,53.3,89.3,2,21.36,Product Manager
5.6,93.3,69.6,73.3,0.0,42.4,84.7,2,22.05,Data Analyst
1.0,42.9,55.3,68.6,68.5,15.7,51.1,1,12.76,UX Designer
0.3,38.6,35.9,40.9,33.6,76.0,58.8,3,18.55,Product Manager
1.4,69.0,46.9,40.7,17.7,27.9,42.6,1,16.1,Machine Learning Engineer
0.7,83.8,68.7,64.4,1.4,39.4,60.6,0,11.83,Data Analyst
10.6,95.3,57.1,62.2,74.3,56.5,79.2,3,32.68,Product Manager
6.6,56.7,66.7,50.8,60.6,28.5,65.0,4,23.8,UX Designer
4.0,84.4,94.5,62.1,53.5,23.1,75.5,1,22.41,Machine Learning Engineer
8.2,64.3,23.7,83.8,85.8,11.8,51.7,1,22.51,UX Designer
6.5,61.9,87.3,70.4,70.7,63.0,79.6,3,29.16,Product Manager
0.8,80.9,57.1,42.9,90.3,40.2,63.3,0,15.75,UX Designer
8.9,76.7,37.0,58.3,30.1,100.0,70.1,1,28.85,Product Manager
3.1,36.6,28.4,47.9,57.3,32.1,68.9,5,23.16,Product Manager
6.6,91.6,51.2,54.2,25.7,33.4,54.7,0,21.25,Data Analyst
9.1,89.8,73.4,53.8,53.4,39.8,56.2,2,28.37,Machine Learning Engineer
1.5,53.7,52.4,52.8,53.0,54.4,81.6,0,19.42,Product Manager
0.5,72.1,85.2,41.2,70.5,41.5,74.8,1,19.12,Machine Learning Engineer
1.0,73.9,26.0,58.1,58.9,61.0,82.6,4,20.36,Product Manager
2.2,69.7,54.8,51.6,70.5,32.4,73.9,4,18.88,UX Designer
6.8,55.1,30.0,16.1,72.1,25.1,71.7,0,22.65,UX Designer
7.9,52.9,62.3,90.8,100.0,17.6,49.3,5,27.98,UX Designer
0.0,64.5,72.7,76.3,51.7,10.0,66.8,2,11.93,Data Analyst
2.9,86.1,46.6,54.4,39.2,40.7,69.7,2,17.84,Data Analyst
2.2,74.8,2.9,60.3,62.9,44.6,93.4,1,19.9,Product Manager
1.0,58.3,59.0,42.4,42.0,38.6,78.2,3,20.64,Product Manager
0.5,78.9,63.7,85.4,87.6,72.4,88.4,0,19.81,Product Manager
1.6,13.7,63.1,88.5,52.3,72.1,77.2,1,20.87,Product Manager
11.5,85.7,79.7,62.4,46.7,44.0,61.5,0,29.08,Machine Learning Engineer
1.6,33.7,33.6,75.4,48.6,17.7,71.4,1,13.32,Data Analyst
2.9,58.5,68.6,62.6,72.4,39.8,72.8,0,17.48,UX Designer
4.9,44.8,78.9,39.9,54.8,39.2,58.7,0,22.74,Machine Learning Engineer
1.8,41.7,19.4,53.8,45.2,38.2,65.4,0,18.4,Product Manager
14.3,85.9,61.4,62.0,91.3,37.4,67.5,3,31.22,UX Designer
13.1,56.6,44.9,53.2,40.9,38.2,89.3,1,31.96,Product Manager
1.2,71.2,53.4,56.7,58.7,43.0,45.0,2,14.35,Data Analyst
2.8,64.2,62.0,58.6,71.0,38.6,84.5,1,24.52,Product Manager
1.4,73.6,45.3,58.8,25.4,53.7,58.8,1,15.03,Cybersecurity Analyst
1.3,66.4,41.5,60.8,67.6,56.5,53.5,1,15.44,Cybersecurity Analyst
0.2,41.9,55.7,44.1,36.9,33.6,84.2,1,19.03,Product Manager
3.8,82.9,33.3,49.2,74.5,72.9,78.8,1,24.49,Product Manager
2.8,56.1,33.3,40.7,38.7,32.4,85.1,5,22.93,Product Manager
0.2,37.0,68.6,74.7,71.9,20.9,79.6,0,11.41,UX Designer
1.3,57.3,32.0,28.4,80.1,56.9,94.7,1,14.77,UX Designer
9.6,92.0,68.3,77.3,75.2,35.3,76.7,1,25.54,Data Analyst
1.1,80.3,64.3,80.8,63.0,55.8,68.1,2,18.66,Data Analyst
0.6,58.7,20.5,55.5,53.4,6.7,74.1,1,13.7,UX Designer
2.7,58.7,41.4,21.0,46.5,75.1,84.9,1,21.36,Product Manager
15.0,59.2,78.9,54.6,87.4,62.1,60.6,3,31.18,UX Designer
1.1,100.0,35.4,59.0,44.0,23.0,62.2,1,12.41,Data Analyst
4.5,71.9,45.7,44.8,37.3,23.4,66.3,0,18.2,Data Analyst
5.7,72.7,64.2,52.3,71.3,80.1,44.7,1,22.47,Cybersecurity Analyst
1.1,83.5,70.7,83.0,42.1,36.7,71.7,1,15.41,Data Analyst
5.2,69.3,50.0,70.0,39.0,35.0,47.4,3,23.59,Cybersecurity Analyst
1.8,60.3,43.0,46.1,29.1,9.2,70.6,1,14.94,Data Analyst
4.0,61.5,83.4,36.0,48.3,43.7,80.4,2,24.95,Product Manager
4.0,63.7,89.8,55.1,56.3,45.9,64.3,2,22.89,Machine Learning Engineer
3.1,64.3,74.6,56.8,62.9,62.9,90.1,0,23.15,Product Manager
0.4,78.1,56.7,67.4,77.0,24.8,52.5,2,14.57,Data Analyst
7.2,65.9,38.8,52.0,68.5,22.6,84.3,0,23.36,UX Designer
1.5,78.2,38.4,67.7,54.2,58.1,78.1,0,18.33,Product Manager
0.8,63.5,65.5,89.0,54.0,68.1,49.4,1,17.96,Cybersecurity Analyst
0.2,66.4,63.4,72.2,68.2,21.7,100.0,2,17.62,Product Manager
3.6,29.0,83.0,59.3,83.5,69.5,69.2,3,26.06,Product Manager
4.5,81.5,68.0,57.3,60.5,50.7,59.5,2,25.05,Product Manager
0.1,71.2,24.9,54.6,48.6,69.7,53.1,1,14.0,Cybersecurity Analyst
2.9,83.0,76.0,77.7,38.1,48.7,67.4,1,17.71,Data Analyst
1.0,12.9,35.0,50.6,29.1,4.6,68.5,2,17.43,Product Manager
4.1,100.0,47.3,60.7,71.3,47.3,71.2,0,17.63,Data Analyst
0.8,62.5,60.0,60.8,69.6,69.1,66.4,2,18.07,Product Manager
4.7,84.9,94.9,52.5,69.5,33.9,77.6,3,25.69,Machine Learning Engineer
2.0,46.3,100.0,39.4,55.4,43.0,65.3,2,19.65,Product Manager
11.0,76.0,67.1,64.8,86.1,46.8,46.8,2,27.22,UX Designer
0.6,46.0,51.3,59.1,48.3,0.0,68.2,0,12.79,Data Analyst
1.7,53.8,65.7,67.5,77.1,80.1,41.6,0,17.66,Cloud/DevOps Engineer
0.5,99.5,72.8,52.0,57.2,33.8,74.2,2,17.16,Machine Learning Engineer
10.3,61.6,48.6,78.3,45.8,59.1,58.2,0,24.86,Data Analyst
8.4,68.9,90.9,46.8,69.9,48.4,72.0,5,33.23,Product Manager
1.2,80.7,59.6,85.7,66.2,72.6,85.8,0,20.36,Product Manager
4.3,73.9,65.0,33.8,65.1,57.3,58.6,0,21.72,Product Manager
6.8,67.7,68.3,66.5,59.6,45.8,82.7,2,29.63,Product Manager
3.2,71.6,63.4,67.1,57.2,33.9,64.8,2,17.66,Data Analyst
3.0,100.0,71.8,48.1,100.0,64.4,91.0,0,17.98,UX Designer
1.1,64.0,42.7,66.4,81.7,16.3,65.6,1,15.85,UX Designer
0.4,68.6,43.8,79.2,72.5,61.6,59.9,2,18.97,Product Manager
9.1,83.9,33.0,26.7,60.2,30.2,78.2,2,30.14,Product Manager
9.2,84.9,63.8,67.5,78.1,72.5,64.8,2,27.91,Cloud/DevOps Engineer
4.0,86.4,70.6,22.6,68.4,52.9,59.9,1,22.76,Machine Learning Engineer
1.7,76.5,64.2,45.5,58.5,61.6,64.3,4,21.01,Product Manager
1.7,44.4,88.5,84.4,51.9,51.5,69.5,4,24.93,Product Manager
5.2,94.4,54.9,51.3,56.4,18.5,86.1,0,26.59,Product Manager
9.1,44.4,68.4,42.4,0.0,34.5,46.8,1,26.23,Machine Learning Engineer
8.7,70.4,33.2,57.0,62.2,62.1,70.3,0,26.41,Cybersecurity Analyst
6.1,51.4,47.3,91.0,48.2,53.0,77.5,1,27.0,Product Manager
4.1,63.8,68.9,32.5,89.9,71.3,72.3,2,19.33,UX Designer
0.4,70.9,72.0,44.2,58.4,57.3,85.7,3,19.66,Product Manager
0.7,70.8,49.1,82.5,34.2,32.6,69.1,0,11.72,Data Analyst
9.2,72.6,53.6,87.9,57.0,35.7,67.8,1,22.88,Data Analyst
3.7,94.0,24.6,58.4,37.1,51.9,77.1,4,24.91,Product Manager
0.0,73.2,47.9,41.4,67.5,8.3,71.2,2,14.08,UX Designer
0.4,60.6,72.8,91.4,63.8,80.1,65.3,2,20.06,Product Manager
4.4,82.4,66.5,83.9,77.2,58.0,76.2,4,22.6,Data Analyst
0.0,86.4,65.0,70.2,42.2,72.1,62.2,1,15.77,Cybersecurity Analyst
0.7,42.9,56.0,47.8,58.7,21.5,62.7,2,14.14,UX Designer
3.2,75.8,55.1,59.3,30.7,72.4,63.7,2,22.15,Product Manager
4.7,77.6,41.8,57.6,72.0,90.2,86.2,3,28.43,Product Manager
4.2,59.6,69.0,65.0,68.4,26.2,31.3,0,21.97,Machine Learning Engineer
1.0,89.8,63.4,81.8,67.9,63.9,74.7,1,19.12,Product Manager
5.0,62.3,64.8,73.2,58.0,50.0,70.4,1,19.99,Data Analyst
1.1,67.3,44.5,43.8,66.3,22.2,49.8,2,16.25,UX Designer
1.6,61.9,11.9,80.6,90.1,58.9,73.7,0,16.92,UX Designer
5.5,65.3,76.9,64.7,52.3,65.0,75.7,2,27.65,Product Manager
4.2,45.3,45.4,70.3,60.8,39.2,77.1,2,19.92,UX Designer
7.6,39.1,37.7,82.0,36.3,71.0,38.2,1,21.96,Cloud/DevOps Engineer
4.3,93.7,68.9,43.3,40.6,20.0,86.4,2,19.4,Data Analyst
3.4,49.8,47.2,59.5,60.0,23.1,61.1,2,20.36,UX Designer
0.4,47.2,76.2,52.0,80.1,52.5,78.2,1,16.41,Product Manager
1.8,26.2,67.3,36.5,52.9,50.5,78.9,2,20.76,Product Manager
1.2,53.5,68.7,65.2,53.3,37.1,59.5,1,14.23,Data Analyst
1.1,41.2,27.7,97.7,49.9,64.6,77.9,2,20.53,Product Manager
14.4,94.6,79.2,32.4,47.3,59.6,65.4,0,32.17,Machine Learning Engineer
2.0,83.2,60.2,59.5,63.9,65.4,45.1,0,18.81,Cybersecurity Analyst
8.9,52.6,47.6,69.6,28.1,47.8,84.0,0,24.51,Product Manager
4.0,100.0,57.9,61.8,83.6,60.8,60.7,0,21.0,Cybersecurity Analyst
6.3,82.7,19.5,58.3,44.7,42.0,59.7,1,22.32,Data Analyst
2.8,59.2,63.2,40.5,72.4,87.0,65.2,3,21.82,Product Manager
3.4,20.0,34.4,63.5,32.6,35.4,73.3,1,21.18,Product Manager
2.7,100.0,27.9,48.6,71.4,87.9,69.3,2,21.99,Cloud/DevOps Engineer
0.9,40.0,24.6,27.2,71.4,50.6,76.6,0,13.45,UX Designer
5.1,35.4,77.3,77.9,65.7,25.2,53.9,1,18.86,UX Designer
1.3,83.4,42.4,74.4,38.1,74.6,61.1,2,19.36,Cybersecurity Analyst
0.1,100.0,85.7,60.8,63.0,52.3,68.6,0,16.14,Machine Learning Engineer
4.1,89.9,44.3,63.4,34.3,65.3,92.8,2,26.5,Product Manager
0.8,75.2,20.9,76.1,52.9,72.0,68.6,2,17.36,Cybersecurity Analyst
11.3,75.7,32.7,63.4,78.6,56.1,83.0,0,32.76,Product Manager
12.3,80.4,79.7,73.6,73.9,39.3,70.5,1,27.68,Data Analyst
9.9,78.7,51.9,55.5,58.3,67.6,64.2,2,28.26,Cybersecurity Analyst
1.8,70.1,44.0,79.7,38.5,50.0,67.0,3,13.46,Data Analyst
0.1,66.9,58.2,64.8,70.9,62.3,68.0,2,18.52,Product Manager
10.5,63.9,65.0,62.9,58.4,11.2,77.2,1,24.96,Data Analyst
2.2,51.4,77.3,40.9,11.6,58.0,86.5,0,20.09,Product Manager
13.6,59.9,84.0,64.3,73.7,38.5,74.3,0,28.36,UX Designer
13.3,34.5,47.8,47.5,57.5,79.8,84.2,2,32.87,Product Manager
7.7,63.2,28.5,50.4,82.0,61.2,58.4,1,28.47,Product Manager
1.4,47.2,46.7,47.8,36.1,54.3,65.0,1,19.22,Product Manager
1.9,45.1,60.2,44.0,0.0,58.8,61.3,1,19.09,Product Manager
7.6,68.2,35.7,91.9,63.6,32.0,73.8,1,22.47,Data Analyst
1.5,90.1,35.9,80.0,63.8,79.2,65.7,1,18.88,Cybersecurity Analyst
0.7,81.5,61.9,88.8,24.2,85.8,78.8,0,15.77,Cybersecurity Analyst
3.3,36.7,54.0,41.7,38.4,57.1,58.8,3,22.22,Product Manager
11.0,47.2,55.7,61.1,100.0,78.6,70.5,2,28.72,UX Designer
4.8,81.9,39.8,40.6,51.9,39.8,78.2,2,26.15,Product Manager
3.4,47.3,50.4,49.6,72.6,35.7,45.2,1,19.86,UX Designer
0.4,61.0,36.5,46.2,45.0,50.7,95.5,0,18.25,Product Manager
3.8,74.9,72.8,78.6,16.2,57.8,66.6,2,23.73,Cybersecurity Analyst
15.0,47.6,75.7,54.1,54.6,42.9,45.7,2,30.62,Machine Learning Engineer
0.6,66.9,18.1,76.0,52.7,59.7,71.9,2,18.65,Product Manager
2.9,41.0,36.4,69.1,50.0,55.5,70.4,3,22.13,Product Manager
8.4,54.2,25.1,94.6,55.7,32.0,69.0,3,23.95,Data Analyst
5.4,70.8,42.0,37.8,63.3,59.3,81.9,1,26.89,Product Manager
4.8,36.3,53.3,78.9,55.0,65.5,79.0,0,22.47,Product Manager
4.8,72.9,26.0,77.2,32.7,53.1,73.6,0,18.58,Data Analyst
1.8,64.6,36.6,45.4,67.7,70.7,75.4,4,22.72,Product Manager
1.4,74.9,34.9,75.1,19.0,28.1,68.7,2,12.01,Data Analyst
6.6,69.0,59.1,65.0,17.0,58.4,91.3,2,27.64,Product Manager
6.6,89.6,56.4,56.6,72.8,28.9,52.2,2,21.54,Data Analyst
8.1,67.3,40.6,47.6,68.1,29.9,71.7,1,22.77,UX Designer
9.8,57.3,58.5,49.2,56.9,38.6,70.8,0,23.8,UX Designer
2.9,67.2,44.1,90.7,30.1,33.0,79.8,4,18.81,Data Analyst
2.8,74.8,49.6,60.0,43.8,40.1,59.9,3,18.72,Data Analyst
6.4,65.9,88.5,71.7,52.7,46.1,49.1,4,28.16,Machine Learning Engineer
4.2,65.7,81.8,48.1,26.1,65.1,71.9,2,25.67,Product Manager
4.8,52.4,29.0,48.3,43.2,44.2,73.4,2,25.0,Product Manager
6.4,53.1,71.6,76.2,71.0,21.5,87.9,1,24.19,UX Designer
8.8,39.8,71.2,39.8,86.5,70.5,54.8,2,26.01,UX Designer
1.6,96.5,32.0,53.8,49.6,34.9,83.9,1,17.9,Cybersecurity Analyst
1.9,42.6,71.4,60.5,73.1,48.9,98.4,4,22.62,Product Manager
0.4,52.5,85.8,61.7,19.7,58.0,65.5,2,18.07,Product Manager
3.5,52.1,32.5,57.3,71.2,53.6,54.5,4,23.04,Cybersecurity Analyst
0.1,81.1,36.6,65.9,41.9,69.7,65.1,1,18.52,Product Manager
2.5,59.7,75.4,70.4,64.1,58.6,70.2,1,23.32,Product Manager
3.1,87.5,60.4,71.0,53.0,34.5,76.8,0,18.28,Data Analyst
1.4,52.9,66.0,45.2,84.4,89.2,62.9,0,21.61,Product Manager
3.6,70.0,61.8,55.7,40.5,53.5,88.7,0,23.08,Product Manager
0.1,50.0,62.8,77.9,70.6,47.3,56.6,3,15.57,Cybersecurity Analyst
0.2,100.0,28.5,73.4,52.4,67.4,49.1,2,17.66,Cloud/DevOps Engineer
6.9,43.6,75.9,39.4,54.8,54.5,83.3,2,28.4,Product Manager
1.8,70.6,78.4,65.3,54.3,57.2,42.7,2,17.88,Machine Learning Engineer
0.5,76.4,50.4,30.3,41.1,94.9,67.6,0,18.68,Product Manager
3.0,72.4,54.1,60.7,57.7,45.0,100.0,0,22.35,Product Manager
5.9,61.7,24.4,88.5,56.7,44.3,69.9,1,20.97,Data Analyst
1.0,62.7,65.3,45.8,62.8,52.1,56.6,1,19.97,Product Manager
3.9,65.8,66.4,47.5,59.7,69.3,69.3,2,23.1,Product Manager
0.4,62.4,53.8,71.5,74.0,22.9,69.4,1,10.77,UX Designer
0.2,82.3,77.5,36.9,76.5,14.6,71.9,1,13.62,UX Designer
3.0,100.0,48.3,50.5,37.0,39.4,77.9,0,16.63,Data Analyst
3.1,55.0,66.3,68.9,75.4,20.6,57.5,3,18.38,UX Designer
4.1,40.3,34.6,50.5,34.3,42.4,90.3,2,24.24,Product Manager
5.2,63.4,54.5,56.5,69.8,59.0,72.9,3,26.67,Product Manager
14.9,100.0,51.5,71.2,70.4,34.0,78.7,2,27.25,Data Analyst
2.9,50.5,59.5,66.3,19.8,24.3,62.5,1,16.16,Data Analyst
1.6,94.5,47.6,64.0,59.9,51.2,85.4,1,20.38,Product Manager
6.3,95.2,52.4,54.9,48.6,65.5,66.9,3,25.82,Cybersecurity Analyst
1.3,55.0,71.5,65.6,42.8,19.5,73.3,3,20.05,Product Manager
2.3,75.2,46.3,58.1,85.0,64.8,58.8,0,12.88,UX Designer
0.3,94.3,22.9,66.9,44.9,64.7,58.0,2,16.32,Cybersecurity Analyst
0.1,58.2,90.0,52.5,41.9,67.2,78.3,2,16.24,Product Manager
13.1,61.3,82.6,57.3,59.5,71.9,64.7,0,31.2,Product Manager
7.2,54.5,29.2,45.2,71.7,89.6,59.8,2,28.88,Product Manager
4.8,46.7,68.8,59.5,55.2,43.6,62.3,3,24.98,Product Manager
2.1,53.3,44.9,47.8,81.3,52.0,78.4,1,14.97,UX Designer
0.8,43.0,60.3,43.3,68.6,42.5,62.5,2,19.87,Product Manager
0.7,65.6,60.9,63.9,14.4,50.0,68.6,3,18.69,Product Manager
1.2,51.1,50.3,63.2,47.4,77.6,70.2,2,18.97,Product Manager
3.2,69.2,39.3,71.7,46.8,25.8,47.0,1,19.13,Data Analyst
5.0,37.0,41.2,53.5,67.6,34.5,52.3,1,19.18,UX Designer
4.3,71.0,36.7,66.1,5.5,74.8,74.0,2,23.81,Product Manager
1.3,80.0,38.4,68.3,100.0,68.4,61.2,3,18.84,Cybersecurity Analyst
12.4,29.1,53.7,66.7,68.6,43.5,82.7,1,31.67,Product Manager
5.4,71.7,40.7,47.6,61.0,65.4,81.6,2,26.39,Product Manager
3.2,87.1,68.6,62.2,81.6,56.1,78.6,2,19.68,UX Designer
3.8,43.2,84.7,65.5,100.0,77.0,91.8,2,26.13,Product Manager
2.2,95.1,43.4,60.1,75.4,51.3,69.0,3,18.57,UX Designer
1.1,72.5,59.8,28.7,77.0,68.5,77.8,2,20.01,Product Manager
1.8,52.3,65.0,62.4,60.6,97.6,63.0,2,19.04,Product Manager
5.7,64.0,64.4,93.2,55.2,60.8,99.4,1,28.93,Product Manager
0.1,75.0,56.5,54.6,48.5,50.9,93.8,0,17.7,Product Manager
0.5,66.4,69.9,49.1,41.5,63.0,70.1,0,17.81,Product Manager
0.2,74.7,64.6,65.6,44.3,43.4,74.6,1,12.77,Data Analyst
0.2,48.4,30.2,64.7,31.0,93.0,86.3,5,20.7,Product Manager
